,name,url,address,city,"min_price, RUB","distance, km",service,rating,good_review,bad_review
157,Плавучая гостиница,https://ostrovok.ru/hotel/russia/baykal/mid10008922/plavuchaya_gostinitsa/?guests=1&page=9&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Посольский сор Култушная, Байкальский Прибой",Байкальский Прибой,"
3271 ",,Бесплатный интернет; Трансфер; Парковка; Бассейн; Конференц-зал; ,,,
158,Заимка,https://ostrovok.ru/hotel/russia/baykal/mid10006539/zaimka_5/?guests=1&page=9&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"G3F9+RR, Сухая",Сухая,"
3696 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; ,,,
159,Отель «Байкал Петрович»,https://ostrovok.ru/hotel/russia/baykal/mid9912510/baikal_hotel_petrovich/?guests=1&page=9&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"ул. 60 лет СССР, Северобайкальск",Северобайкальск,"
4616 ",,Бесплатный интернет; Парковка; Бассейн; Спа-услуги; Разрешено с домашними животными; ,,,
160,Дом на Байкале в скандинавском стиле,https://ostrovok.ru/hotel/russia/baykal/mid9997774/dom_na_bajkale_v_skandinavskom_stile/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"переулок Кирова 1А, Усть-Баргузин",Усть-Баргузин,"
5079 ",,Парковка; Бар или ресторан; Спа-услуги; Разрешено с домашними животными; Кухня; ,,,
161,Гостевой дом Alexander Beketov Guesthouse,https://ostrovok.ru/hotel/russia/baykal/mid10041206/gostevoy_dom_alexander_beketov_guesthouse/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Больничный переулок, 9, Усть-Баргузин",Усть-Баргузин,"
5725 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,,
162,Хостел Baikal Club,https://ostrovok.ru/hotel/russia/baykal/mid9931514/baikal_club_hostel/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"лесной мкр-н, д. 5, Гремячинск",Гремячинск,"
4606 ",,Бесплатный интернет; Парковка; Бассейн; ,,,
163,Гостевой дом БайкКалина,https://ostrovok.ru/hotel/russia/baykal/mid10011069/baykkalina_guest_house/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Озёрная, д.8, Утулик",Утулик,"
8800 ",,Бесплатный интернет; Трансфер; Парковка; Спа-услуги; Разрешено с домашними животными; ,,,
164,Korolevskaya Gavan Guest house,https://ostrovok.ru/hotel/russia/baykal/mid6396072/korolevskaya_gavan_enhaluk/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Lesnaya, 4 A, Новый Энхалук",Новый Энхалук,"
8778 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Конференц-зал; ,8.0,,
165,Baikal Chalet,https://ostrovok.ru/hotel/russia/baykal/mid9954576/baikal_chalet/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Schastlivaya 1, Максимиха",Максимиха,"
9193 ",,; ; ; ; ; ,,,
166,Коттедж,https://ostrovok.ru/hotel/russia/baykal/mid9999475/kottedzh_4/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Островского 18, Листвянка",Листвянка,"
9900 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Спа-услуги; ,,,
167,Geser Resort,https://ostrovok.ru/hotel/russia/baykal/mid6516961/geser_resort_/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Sakhyurta Village, Sakhyurta, Иркутская обл., Russia, 666135, Ольхон",Ольхон,"
10 365 ",,Парковка; Подходит для детей; Бар или ресторан; ,,,
168,Мини-отель Муравей,https://ostrovok.ru/hotel/russia/baykal/mid10013500/miniotel_muravey/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Россия Иркутская область Слюдянский район о.п. Муравей, Слюдянка",Слюдянка,"
13 000 ",,; ; ; ; ; ,,,
169,Эко-Отель Байкальское Шале,https://ostrovok.ru/hotel/russia/baykal/mid9752067/bajkalskoe_shale_hotel/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Счастливая, д. 1, Максимиха",Максимиха,"
11 827 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,,
170,Частный дом Коттедж на Байкале,https://ostrovok.ru/hotel/russia/baykal/mid10016956/chastny_dom_kottedzh_na_baykale/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"улица Кирова, 1В, Усть-Баргузин",Усть-Баргузин,"
10 053 ",,Подходит для детей; Бассейн; Кухня; ,,,
171,Отель Сибирская резиденция Лёд,https://ostrovok.ru/hotel/russia/baykal/mid9679208/hotelclub_ice/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Байкальская улица, 1в, Мангутай",Мангутай,"
19 242 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,,
172,Байкал Загородный Отель,https://ostrovok.ru/hotel/russia/baykal/mid7965294/bajkal_hotel/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Академическая ул., д.13, Листвянка",Листвянка,"
6137 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,,,
173,Guest House Gavan Listvyanka,https://ostrovok.ru/hotel/russia/baykal/mid8753101/gavan_listvyanka/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"ulitsa Gudina, 69, 664520, Listvyanskoe, Russia, Листвянка",Листвянка,"
4755 ",,Бесплатный интернет; Трансфер; ,,"Все понравилось.; Чистота в номере,удобные кровати, хорошее постельное белье; Новый, чистый отель с великолепным персоналом.; ",
174,Гавань Байкала,https://ostrovok.ru/hotel/russia/baykal/mid6452756/gostevoi_dom_gavan/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"ул. Гудина, д.84, Листвянка",Листвянка,"
4755 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бар или ресторан; ,9.0,"Всё! Обстановка тихая, спокойная, домашняя, камин в гостиной. Вкусный завтрак. В комнате тепло и уютно. Мы были на своем транспорте, так что идти далеко не пришлось, отель расположен подальше от суеты и это хорошо!; ","Вначале огорчило, что на сайте было несоответствие цены и номера, но администратор Любовь на месте всё решила и изменила по нашему желанию. Спасибо!; "
175,Семейный мини-отель на Ольхоне,https://ostrovok.ru/hotel/russia/baykal/mid6375672/family_minihotel_olkhon/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Улица Матросова 7, Ольхон",Ольхон,"
5024 ",,; ; ; ; ,9.0,,
176,camping Zara,https://ostrovok.ru/hotel/russia/baykal/mid8878911/camping_zara/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"4 Per Olimpiiskii, Ольхон",Ольхон,"
4817 ",,Бесплатный интернет; Бар или ресторан; ,,,
177,Уюга,https://ostrovok.ru/hotel/russia/baykal/mid8059382/baikaluyuga_guest_house/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"Ольхонский район . д. Курма , местность Уюга, Северобайкальск",Северобайкальск,"
4467 ",,Бесплатный интернет; Трансфер; Парковка; Подходит для детей; Бассейн; ,8.0,,
178,Гостевой дом и кемпинг «Тойнак»,https://ostrovok.ru/hotel/russia/baykal/mid9101313/toynak_guest_houses_campsite/?guests=1&page=10&price=one&q=6307686&sid=19ee1388-d9ac-427f-a659-169c4a056d84,"залив Хужир-Нугайский, трб. «Тойнак», 1, Ольхон",Ольхон,"
4817 ",85.0,Трансфер; Бар или ресторан; Разрешено с домашними животными; ,,,
