city,name
Бабушкин,1
Байкал,2
Байкальск,32
Байкальский Прибой,1
Баргузин,1
Большие Коты,2
Большое Голоустное,13
Бугульдейка,1
Бурдугуз,1
Вы́дрино,1
Горячинск,15
Гремячинск,5
Еланцы,1
Иркутск,1
Култук,5
Куркут,6
Листвянка,87
Максимиха,13
Мангутай,4
Новый Энхалук,11
Ольхон,132
Сарма,1
Сахюрта,2
Северобайкальск,20
Слюдянка,19
Солзан,1
Сухая,5
Танхой,1
Турка,4
Улан-Удэ,1
Усть-Баргузин,10
Утулик,14
Хужир,2
